smiles,logS
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,-2.96
CCBr,-1.09
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,-5.64
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
CC(O)C(C)(C)C,-0.62
CC(=O)OCC(COC(C)=O)OC(C)=O,-0.59
COc1ccccc1,-1.91
Nc1ccccc1N,-0.42
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.79
CCc1ccc2ccccc2c1,-4.29
NC(=O)NC1NC(=O)NC1=O,-1.6
CCCCO,-0.02
CC1CO1,-0.06
C=C(C)C1CC=C(C)CC1,-4.12
CN(C)CCCN1c2ccccc2CCc2ccccc21,-4.19
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,-4.65
O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,-3.62
O=C(O)c1cccnc1,-0.84
CC(C)C(C)C,-3.62
Oc1cccc(Cl)c1Cl,-1.48
Fc1ccccc1,-1.8
CC=CCCCC,-3.82
CCC(C)(C)CC,-4.23
CCCCC,-3.21
O=C(O)CCc1ccccc1,-1.41
O=C1NCCN1c1ncc([N+](=O)[O-])s1,-3.22
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.45
CCC(=O)OC,-0.14
Clc1ccccc1Cl,-3.02
O=c1cc[nH]c(=O)[nH]1,-1.49
COc1cc(C(=O)O)ccc1O,-2.05
CCCCI,-2.96
CCCCS,-2.18
CC(C)COC=O,-1.01
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,-5.38
O=C(O)c1ccccc1Cl,-1.88
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,-2.23
CC(=O)Nc1ccc([N+](=O)[O-])cc1,-2.69
CC=Cc1ccc(OC)cc1,-3.13
c1ccncc1,0.87
CCCCOC=O,-1.25
Cc1ccc(C(=O)O)cc1,-2.6
O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O,-2.7
CCS(=O)(=O)CC,0.04
Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,-7.71
CC1=CCCCC1,-3.27
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-4.41
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl,-5.69
Clc1ccc(-c2ccc(Cl)cc2)cc1,-6.56
NC(=O)c1ccccc1O,-1.8
Cc1ccc(O)c(C)c1,-1.19
CCCOC(=O)CCC,-1.86
O=C(O)COc1ccc(Cl)cc1,-2.29
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.57
ClC=C(Cl)Cl,-2.0
O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,-3.38
Cc1ncnc2nccnc12,-0.47
CCC(N)Cc1c[nH]c2ccccc12,-2.57
Cc1c(C)c2c3ccccc3ccc2c2ccccc12,-7.01
CCC(C)CC,-3.68
COCOC,0.49
Clc1ccc(-c2cccc(Cl)c2Cl)cc1,-6.27
CC(O)C(N)C(=O)O,-0.09
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,-4.12
CCCCC(CC)CN,-1.71
OCCc1ccccc1,-0.74
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,-4.26
CCC1(C(C)C)C(=O)NC(=O)NC1=O,-2.2
C1CCCCCC1,-3.52
C#CC(C)OC(=O)Nc1cccc(Cl)c1,-2.617
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785
C=Cc1ccccc1,-2.72
Cc1cc(C)c(C)c(C)c1C,-3.99
CCCCCC=O,-1.28
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.19
C=C(C)C(=O)O,0.01
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716
COc1ccccc1OCC(O)COC(N)=O,-0.985
CCCCCCCCCCCCCCO,-5.91
CCC1(CC)C(=O)NC(=O)NC1=O,-1.73
Nc1ccccc1C(=O)O,-1.56
CCCCCCCCCCCCCCCCO,-7.17
CCCCCC(=O)OCC,-2.34
Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,-6.09
CCC(Cl)CC,-2.63
O=C(O)c1ccc(O)cc1,-1.43
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
CCCCCCC(C)O,-2.09
O=C(Nc1ccccc1)c1ccccc1I,-4.21
CCCOC(C)=O,-0.72
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,-7.61
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,-1.89
CCCC,-2.77
c1ccc2nc3ccccc3cc2c1,-3.67
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.02
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,-4.8
CCc1cccc(CC)c1N,-2.35
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-5.66
C[N+](=O)[O-],0.26
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
CCCC(=O)CC,-0.83
CCNc1nc(Cl)nc(N(CC)CC)n1,-4.06
C=COCC,-0.85
O=Cc1ccc2c(c1)OCO2,-1.63
CCNc1nc(Cl)nc(NC(C)C)n1,-3.76
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,-4.16
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
CCCCCBr,-3.07
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,-7.32
N#CCCCl,-0.29
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,-2.17
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.82
CCCCN(CCCC)CCCC,-3.12
Nc1cnn(-c2ccccc2)c(=O)c1Cl,-2.83
ClC(Br)Br,-1.91
CC12CCC(CC1)C(C)(C)O2,-1.74
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-4.4
CCCCc1ccccc1,-4.06
CCCCCCCCCCCCCCCO,-6.35
COC(C)C,-0.06
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
C=CCBr,-1.5
O=[N+]([O-])c1ccccc1O,-1.74
Cc1cc(O)cc(C)c1Cl,-2.8
O=NN1CCCCC1,-0.17
O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,-3.08
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.77
CCCOCCC,-1.52
NC(N)=O,0.96
Cc1ccc(C)nc1,0.4
CCCCC(C)=O,-0.79
CCC#CCC,-2.08
C=CC(C)C,-2.73
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,-6.77
CNC(=O)ON=C(CSC)C(C)(C)C,-1.62
ClC(Cl)C(Cl)(Cl)Cl,-2.61
Oc1cc(Cl)cc(Cl)c1,-1.45
ClCCBr,-1.32
Oc1c2ccccc2cc2ccccc12,-4.73
Oc1ccc2ccccc2c1,-2.28
CN(C)C(=O)C(c1ccccc1)c1ccccc1,-2.97
c1ccc2c(c1)ccc1ccccc12,-5.24
Clc1ccc(-c2ccccc2Cl)cc1Cl,-6.29
CCC(C)O,0.43
CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,-3.8
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,-3.32
CCCCCCCCBr,-5.06
CN(C)C(=O)NC1CC2CC1C1CCCC21,-3.09
C=CCCCCCC,-4.44
CCI,-1.6
CCC[N+](=O)[O-],-0.79
O=[N+]([O-])c1ccc(Cl)c(Cl)c1,-3.2
CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,-8.2
CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,-3.24
CCOC(C)OCC,-0.43
CCCCC(CC)CO,-2.16
CCC(C)c1ccccc1,-3.89
CCCCCCl,-2.73
Clc1ccc(-c2ccccc2)cc1Cl,-6.39
CC=CCC,-2.54
CC(C)(C)c1ccc(O)cc1,-2.41
C=C(C(=O)O)c1ccccc1,-2.06
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,-2.07
Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl,-7.39
CN1CCCCC1,0.23
